OTU,NM-L+P+1,NM-L+P+2,NM-L+P+3,NM-L+P+4,NM-L+P+5,AM-L-P+1,AM-L-P+2,AM-L-P+3,AM-L-P+4,AM-L-P+5,NM-L+P-1,NM-L+P-2,NM-L+P-3,NM-L+P-4,NM-L+P-5,AM-L-P-1,AM-L-P-2,AM-L-P-3,AM-L-P-4,AM-L-P-5
OTU117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU118,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
OTU119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU120,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,2,0,0,0,0
OTU121,0,3,5,685,8,519,493,0,0,0,0,1039,455,88,2,319,0,0,1,0
OTU122,0,0,0,6,1,0,43,0,0,0,0,270,0,474,0,153,0,0,0,0
OTU123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU125,0,0,90,0,0,1,0,0,0,0,0,0,181,0,0,0,0,0,0,0
OTU126,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU127,0,0,0,145,0,0,0,0,0,0,0,0,59,0,0,140,0,0,0,0
OTU128,0,0,0,0,0,0,0,0,0,0,0,0,582,875,12,549,0,0,0,0
OTU129,0,0,0,264,0,323,273,0,0,0,0,1380,87,0,0,504,0,0,0,0
OTU130,1,10,0,0,1,163,158,0,1,0,0,183,483,108,1160,90,1,1,0,0
OTU131,0,424,637,1064,702,138,163,0,2895,1182,3076,431,155,494,0,191,1159,2545,758,2734
OTU132,0,0,0,8,0,330,368,0,0,0,0,0,247,0,0,221,0,0,0,0
OTU133,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU134,1,0,0,0,0,0,39,0,0,1,0,0,30,0,0,201,0,0,0,0
OTU135,1,8,0,7,0,337,408,5,1621,2,0,1063,251,0,0,653,0,0,0,0
OTU136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU137,3,3,0,782,0,410,402,0,0,0,0,344,574,5,0,364,108,0,0,2
OTU138,1,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0
OTU139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
