,OTUs,a,b,c,size,Class
374,ASV25639,0,0.000365106,0,0.012170209,b
375,ASV25662,0,0.000202112,0,0.00673708,b
376,ASV25682,0,0.000873647,0,0.029121572,b
377,ASV25685,0,0,0.000423784,0.014126136,c
378,ASV25687,0,0.000697614,0,0.023253792,b
379,ASV25788,0,0.000228191,0,0.007606381,b
380,ASV25935,0.000202112,0,0,0.00673708,a
381,ASV25989,0,0.000384666,0,0.012822185,b
382,ASV26,0.000782371,0.001095319,0.000410745,0.076281132,none
383,ASV26040,0,0.000482462,0,0.016082062,b
384,ASV26046,0,0.000749772,0.000345547,0.036510627,b
385,ASV26053,0.000567219,0,0,0.018907289,a
386,ASV26086,0.000619377,0.000241231,0.015575694,0.547876733,c
387,ASV26173,0,0.000828009,0,0.027600296,b
388,ASV262,0,0,0.001173556,0.039118529,c
389,ASV26396,0.016305907,0,0,0.54353023,a
390,ASV264,0.000469422,0,0,0.015647412,a
391,ASV26430,0,0.000554179,0,0.018472639,b
392,ASV26494,0,0,0.000325988,0.010866258,c
393,ASV26529,0,0,0.000312948,0.010431608,c
394,ASV27,0,0.001466945,0.000508541,0.065849524,b
395,ASV27446,0.000352067,0,0,0.011735559,a
396,ASV27473,0.000241231,0,0,0.008041031,a
397,ASV27480,0,0,0.000488982,0.016299387,c
398,ASV27514,0.000247751,0,0,0.008258356,a
399,ASV27633,0,0,0.001186595,0.039553179,c
400,ASV27649,0,0,0.000886687,0.029556222,c
401,ASV27674,0,0,0.000339027,0.011300908,c
402,ASV27678,0.000730213,0,0,0.024340418,a
403,ASV27722,0,0,0.000462903,0.015430086,c
404,ASV27737,0,0.000723693,0,0.024123093,b
405,ASV27838,0,0,0.000886687,0.029556222,c
406,ASV27856,5.87E-05,0.000723693,0,0.026079019,b
407,ASV27927,0,0,0.000319468,0.010648933,c
408,ASV27988,0,0,0.000684574,0.022819142,c
409,ASV28,0.000730213,0,0.000449863,0.039335854,a
410,ASV28119,0.000136915,0,0.000384666,0.017386013,c
411,ASV283,0,0.001167036,9.78E-05,0.042161081,b
412,ASV285,0.000123875,0.000247751,0.001030121,0.04672491,c
413,ASV2850,0.000189073,0.000247751,0.001030121,0.048898161,c
414,ASV286,0.00078889,0.000293389,0.001506063,0.086278089,c
415,ASV28634,0,0.000247751,0,0.008258356,b
416,ASV28707,0,0.000449863,0,0.014995436,b
417,ASV28779,0,0.000397705,0,0.013256835,b
418,ASV28833,0,0.000371626,0,0.012387534,b
419,ASV29,0.000462903,0,0.000899726,0.045420959,c
420,ASV29024,0,0.000149954,0.000247751,0.013256835,c
421,ASV29041,0,0,0.000404225,0.01347416,c
422,ASV29076,0.000462903,0,0,0.015430086,a
423,ASV29080,0,0,0.000469422,0.015647412,c
424,ASV29091,0.000332507,0,0,0.011083583,a
425,ASV29108,0,0.000345547,0,0.011518234,b
426,ASV29116,0.000104316,0.003207719,0,0.110401182,b
427,ASV29141,0,0,0.000495501,0.016516712,c
428,ASV29174,0,0.000488982,0,0.016299387,b
429,ASV29187,0,2.61E-05,0.000430304,0.015212761,c
430,ASV29214,0.000417264,0,0,0.01390881,a
