,OTUs,a,b,c,size,Class
211,ASV14162,0.00041591,0,0,0.013863665,a
212,ASV14163,0.000451784,0,0,0.015059453,a
213,ASV14164,0.000409184,0,0,0.013639455,a
214,ASV14165,0.000434968,0,0,0.014498928,a
215,ASV14166,0.000417031,0,0,0.013901034,a
216,ASV14167,0.000408063,0,0,0.013602087,a
217,ASV14168,0.000402457,0,0,0.013415245,a
218,ASV14169,0.000410305,0,0,0.013676823,a
219,ASV14170,0.000399094,0,0,0.01330314,a
220,ASV14171,0.000377794,0,0,0.012593141,a
221,ASV14172,0.000350889,0,2.02E-05,0.01236893,a
222,ASV14173,0.000372189,0,0,0.012406299,a
223,ASV14174,0.000334073,0,0,0.011135774,a
224,ASV14175,0.000339678,0,0,0.011322616,a
225,ASV14176,0.000322863,0,0,0.010762091,a
226,ASV14177,0.000321742,0,0,0.010724722,a
227,ASV14178,0.000293715,0,0.000200668,0.016479451,a
228,ASV14179,0.000292594,0,0,0.009753145,a
229,ASV1418,0.000679357,0,5.61E-05,0.024513651,a
230,ASV14180,0.000285868,0,0,0.009528934,a
231,ASV14181,0.000308289,3.36E-05,0,0.011397353,a
232,ASV14182,0.000249994,0,0,0.008333146,a
233,ASV14183,0.000292594,0.000183852,3.70E-05,0.017114713,a
234,ASV14184,0.000274658,0,0,0.009155251,a
235,ASV14185,0.000251115,0,0,0.008370515,a
236,ASV14186,0.000262326,0,0,0.008744199,a
237,ASV14187,0.000260084,0,0,0.008669462,a
238,ASV14188,0.000247752,0,0,0.00825841,a
239,ASV14189,0.000257842,0,0,0.008594725,a
240,ASV14190,0.000243268,0,0,0.008108936,a
241,ASV14191,0.0002343,0,0,0.007809989,a
242,ASV14192,0.000237663,0,0,0.007922094,a
243,ASV14193,0.000237663,0,0,0.007922094,a
244,ASV14194,0.000237663,0,0,0.007922094,a
245,ASV14195,0.000246631,0.000188337,4.15E-05,0.015881557,a
246,ASV14196,0.000254479,0,0,0.00848262,a
247,ASV14197,0.000210758,0,0,0.007025254,a
248,ASV14198,0.000260084,0,0,0.008669462,a
249,ASV14199,0.000251115,0,0,0.008370515,a
250,ASV14200,0.000223089,0,0.000217484,0.014685769,a
251,ASV14201,0.000219726,0,0,0.007324201,a
252,ASV14202,0.000246631,0,0,0.008221041,a
253,ASV14203,0.000213,0,0,0.00709999,a
254,ASV14204,0.000229815,0,0,0.007660516,a
255,ASV14205,0.000209637,0,0,0.006987885,a
256,ASV14206,0.000236542,0,0,0.007884726,a
257,ASV14207,0.000239905,0,0,0.007996831,a
258,ASV14208,0.000207394,0,0,0.006913148,a
259,ASV14209,0.000216363,0.000524652,0,0.024700493,b
260,ASV14211,0.000208516,0,9.53E-05,0.010126828,a
261,ASV14214,0.000220847,0,0,0.007361569,a
262,ASV14215,0.000230937,0,0,0.007697884,a
263,ASV14216,0.000214121,0,1.12E-06,0.007174727,a
264,ASV14217,0.000211879,0,0,0.007062622,a
265,ASV14218,0.000200668,0,0,0.006688938,a
266,ASV14219,0.000209637,1.12E-06,0,0.007025254,a
267,ASV14221,0.000205152,0,0,0.006838412,a
268,ASV14225,0.00020291,0,0,0.006763675,a
269,ASV14235,0.00020291,0,0,0.006763675,a
270,ASV14240,0.000180489,0.00087442,0.000159189,0.040469945,b
271,ASV1431,3.36E-05,0,0.000294836,0.010948932,c
272,ASV14331,0.001384498,0,0,0.046149937,a
273,ASV14396,0,0.000251115,0,0.008370515,b
274,ASV144,0.00057622,7.51E-05,0,0.021711023,a
275,ASV14422,0.001776866,2.24E-06,0.000102016,0.062704125,a
276,ASV14465,0.003588485,0,0,0.119616152,a
277,ASV14473,0.00035201,0,0,0.011733668,a
278,ASV145,0,0,0.000201789,0.006726307,c
279,ASV1454,0,0.000451784,0,0.015059453,b
280,ASV14552,1.12E-06,0.000334073,0,0.011173143,b
281,ASV14572,0,0.00061882,0,0.02062734,b
282,ASV14581,1.12E-06,0.001529114,0,0.051007825,b
283,ASV14641,0,0.000632273,0,0.021075761,b
284,ASV14670,0.00213336,0,0,0.071112008,a
285,ASV14671,0.00165355,0,0,0.055118346,a
286,ASV14672,0.001567229,5.61E-06,0,0.052427823,a
287,ASV14673,0.001451761,0.000257842,0,0.056986764,a
288,ASV14674,0.001374409,0,0,0.045813622,a
289,ASV14675,0.001251093,1.12E-06,0,0.041740469,a
290,ASV14676,0.001283604,0,0,0.042786784,a
291,ASV14677,0.000957378,0,0,0.031912588,a
292,ASV14678,0.00073541,0,0,0.024513651,a
293,ASV14679,0.000462994,0,0,0.015433137,a
294,ASV14680,0.0002982,0,0,0.009939986,a
295,ASV14681,0.000249994,0,0,0.008333146,a
296,ASV14682,0.000274658,0,0,0.009155251,a
297,ASV147,0,0.000201789,0,0.006726307,b
