,OTUs,A,B,C,size,Class
240,ASV1557,0.000104316,0.000332507,0.00053462,0.032381449,C
241,ASV1562,0.000130395,0.000391185,0,0.017386013,B
242,ASV15647,0,0,0.000599817,0.019993915,C
243,ASV1565,0.000123875,4.56E-05,0.0005281,0.023253792,C
244,ASV15653,0,0,0.000482462,0.016082062,C
245,ASV15658,0,0,0.000469422,0.015647412,C
246,ASV1567,0.000104316,0,0.000599817,0.023471117,C
247,ASV1572,0.000371626,0,0,0.012387534,A
248,ASV15730,0,0,0.000202112,0.00673708,C
249,ASV15759,0,0,0.000860608,0.028686921,C
250,ASV158,0.000195593,0.000730213,0.000488982,0.04715956,B
251,ASV1580,0.000117356,0.000384666,0.000984483,0.049550137,C
252,ASV1581,0.000182553,0,0.000606337,0.026296345,C
253,ASV1582,0.000169514,0.000678055,0.000417264,0.042161081,B
254,ASV15828,0,0,0.000358587,0.011952884,C
255,ASV15854,0,0,0.000286869,0.009562307,C
256,ASV1587,0.000430304,0,0,0.014343461,A
257,ASV15873,0,0,0.000215152,0.00717173,C
258,ASV1589,0.000110836,0.000176033,0.000560699,0.028252271,C
259,ASV159,0.000834529,0,0.000462903,0.043247707,A
260,ASV1594,9.78E-05,0,0.000352067,0.014995436,C
261,ASV1596,7.82E-05,0,0.000215152,0.009779632,C
262,ASV16,0.000854088,0,0,0.028469596,A
263,ASV1607,7.17E-05,0,0.000554179,0.020863216,C
264,ASV1610,8.48E-05,0,0.000508541,0.01977659,C
265,ASV1616,9.13E-05,0,0.000619377,0.023688443,C
266,ASV1618,7.17E-05,0.000821489,0.00133003,0.07410788,C
267,ASV1620,8.48E-05,0.000234711,0.000110836,0.014343461,B
268,ASV1624,6.52E-05,0.000625896,0.001245273,0.064545573,C
269,ASV1625,9.78E-05,0,0.001238753,0.044551658,C
270,ASV1627,4.56E-05,0,0.000371626,0.01390881,C
271,ASV1629,0.000104316,0,0.000299909,0.01347416,C
272,ASV163,0.000971443,0.006721867,0.000136915,0.261007519,B
273,ASV1634,5.87E-05,0,0.0005281,0.019559265,C
274,ASV1642,3.91E-05,0.000391185,0.001030121,0.048680836,C
275,ASV1644,8.48E-05,0.00053462,0.000436824,0.035206676,B
276,ASV1645,3.91E-05,0.000775851,0.000436824,0.041726431,B
277,ASV1646,7.82E-05,0.00026731,0.001675577,0.0673708,C
278,ASV165,0.000665015,0.000417264,0.002066762,0.104968053,C
279,ASV1651,3.91E-05,8.48E-05,0.000286869,0.013691485,C
280,ASV1652,7.17E-05,0.000286869,0,0.011952884,B
281,ASV1655,7.17E-05,0.002457948,0.000299909,0.09431912,B
282,ASV1660,0.001460425,0,0,0.048680836,A
283,ASV1662,7.17E-05,0,0.001017082,0.036293302,C
284,ASV1665,7.17E-05,0,0.00106272,0.037814578,C
285,ASV1668,4.56E-05,0,0.00053462,0.019341939,C
286,ASV16685,0,0,0.000208632,0.006954405,C
287,ASV1669,7.17E-05,0,0.000293389,0.012170209,C
288,ASV16704,0,0,0.000280349,0.009344982,C
289,ASV1672,5.87E-05,7.82E-05,0.000312948,0.014995436,C
290,ASV1675,0.000339027,0,0,0.011300908,A
