,OTUs,A,B,C,size,Class
361,ASV1800,0,0.000350889,3.36E-06,0.011808405,B
362,ASV1802,0.000456268,0,0,0.015208927,A
363,ASV1809,0.000206273,1.12E-06,0,0.006913148,A
364,ASV181,0.000363221,1.12E-06,0,0.01214472,A
365,ASV182,0.000357615,2.24E-06,0,0.011995247,A
366,ASV183,0.000404699,0,0,0.013489982,A
367,ASV1831,0.000354252,0,0,0.011808405,A
368,ASV1838,1.12E-06,0.000286989,0,0.009603671,B
369,ASV184,0.000539226,1.12E-05,0.000443936,0.033145744,A
370,ASV1843,0.00040582,0,0,0.01352735,A
371,ASV185,0.000386763,2.24E-06,0,0.012966824,A
372,ASV1854,0.000295957,0,0,0.00986525,A
373,ASV186,0.000363221,0,0,0.012107352,A
374,ASV187,0.000354252,0,0,0.011808405,A
375,ASV188,0.000707383,3.36E-06,0,0.023691547,A
376,ASV189,0.000346405,0,0.000239905,0.019543657,A
377,ASV1897,0,0.000253358,0,0.008445252,B
378,ASV1899,1.12E-06,0.0003621,0,0.012107352,B
379,ASV19,0.006227439,0.009539024,0.0153158,1.036075424,none
380,ASV1904,0,0.00066142,0,0.022047338,B
381,ASV191,0.000350889,0.000325105,0.000711867,0.046262042,C
382,ASV1919,0.001040335,0,0.00030941,0.044991517,A
383,ASV192,0.000200668,0,0.000128921,0.010986301,A
384,ASV1920,0.001124414,0.00251676,5.27E-05,0.123128779,B
385,ASV1921,0.000918141,0,0,0.030604695,A
386,ASV1922,0.000868815,0,5.16E-05,0.030679432,A
387,ASV1923,0.000808278,0.001511177,0.003638932,0.198612886,C
388,ASV1924,0.000788099,0,0,0.026269964,A
389,ASV1925,0.000757831,0,0,0.025261018,A
390,ASV1926,0.000765678,0,0,0.025522597,A
391,ASV1927,0.000717473,0,0,0.023915757,A
392,ASV1928,0.00070402,0,0,0.023467336,A
393,ASV1929,0.000681599,0,0,0.022719969,A
394,ASV1930,0.000674873,0.002353086,0,0.100931967,B
395,ASV1931,0.00066142,0,0,0.022047338,A
396,ASV1932,0.000636757,0,0,0.021225234,A
397,ASV1933,0.000556041,0,0,0.018534711,A
398,ASV1934,0.000604247,0,6.84E-05,0.022421022,A
399,ASV1935,0.00055492,0,0,0.018497343,A
400,ASV1936,0.000562768,0,0,0.018758922,A
401,ASV1937,0.000539226,0,0,0.017974186,A
402,ASV1938,0.00050111,0,0,0.016703661,A
403,ASV1939,0.000544831,0,0,0.018161028,A
404,ASV194,0.000417031,0,0,0.013901034,A
405,ASV1940,0.000493262,0,0,0.016442083,A
406,ASV1941,0.00052241,0,0,0.01741366,A
407,ASV1942,0.000502231,0,0,0.01674103,A
408,ASV1943,0.000455147,0,0,0.015171558,A
409,ASV1944,0.000456268,1.12E-06,0,0.015246295,A
410,ASV1945,0.000465236,0,0.000476447,0.031389431,C
411,ASV1946,0.000459631,0,0,0.015321032,A
412,ASV1947,0.000477568,0.000957378,0,0.047831513,B
413,ASV1948,0.000466357,0,0,0.015545242,A
414,ASV1949,0.00041591,0,1.12E-06,0.013901034,A
415,ASV1950,0.000454026,0,0,0.01513419,A
416,ASV1951,0.000446178,0,0,0.014872611,A
417,ASV1952,0.000429363,0,0,0.014312086,A
418,ASV1953,0.00040582,0,0.003001054,0.113562476,C
419,ASV1954,0.000404699,0,0,0.013489982,A
420,ASV1955,0.000420394,1.12E-06,1.12E-06,0.014087875,A
421,ASV1956,0.000395731,0,0,0.013191035,A
